path,bytes,type
05_Android/notification/ic_stat_dayvector_mdpi_24.png,515,png
05_Android/notification/ic_stat_dayvector_xhdpi_48.png,1340,png
05_Android/notification/ic_stat_dayvector_xxhdpi_72.png,2213,png
05_Android/notification/ic_stat_dayvector_xxxhdpi_96.png,3383,png
06_Windows/DayVector_App.ico,74690,ico
06_Windows/DayVector_Tray.ico,8177,ico
06_Windows/app_icons/DayVector_App_128.png,15835,png
06_Windows/app_icons/DayVector_App_16.png,808,png
06_Windows/app_icons/DayVector_App_20.png,934,png
06_Windows/app_icons/DayVector_App_24.png,1265,png
06_Windows/app_icons/DayVector_App_256.png,42214,png
06_Windows/app_icons/DayVector_App_32.png,2117,png
06_Windows/app_icons/DayVector_App_40.png,2819,png
06_Windows/app_icons/DayVector_App_48.png,3810,png
06_Windows/app_icons/DayVector_App_512.png,117519,png
06_Windows/app_icons/DayVector_App_64.png,5806,png
06_Windows/tray/DayVector_Tray_Indigo_16.png,626,png
06_Windows/tray/DayVector_Tray_Indigo_20.png,895,png
06_Windows/tray/DayVector_Tray_Indigo_24.png,1214,png
06_Windows/tray/DayVector_Tray_Indigo_32.png,1793,png
06_Windows/tray/DayVector_Tray_Indigo_48.png,3253,png
06_Windows/tray/DayVector_Tray_White_16.png,382,png
06_Windows/tray/DayVector_Tray_White_20.png,495,png
06_Windows/tray/DayVector_Tray_White_24.png,605,png
06_Windows/tray/DayVector_Tray_White_32.png,907,png
06_Windows/tray/DayVector_Tray_White_48.png,1564,png
07_Web_Favicon/android-chrome-192x192.png,28782,png
07_Web_Favicon/android-chrome-512x512.png,121334,png
07_Web_Favicon/apple-touch-icon.png,26036,png
07_Web_Favicon/favicon-128x128.png,16292,png
07_Web_Favicon/favicon-16x16.png,808,png
07_Web_Favicon/favicon-180x180.png,26036,png
07_Web_Favicon/favicon-192x192.png,28782,png
07_Web_Favicon/favicon-256x256.png,43186,png
07_Web_Favicon/favicon-32x32.png,2117,png
07_Web_Favicon/favicon-48x48.png,4101,png
07_Web_Favicon/favicon-512x512.png,121334,png
07_Web_Favicon/favicon-64x64.png,6164,png
07_Web_Favicon/favicon-96x96.png,11049,png
07_Web_Favicon/favicon.ico,71324,ico
07_Web_Favicon/site.webmanifest,375,webmanifest
08_Social/DayVector_OpenGraph_1200x630.png,120654,png
08_Social/DayVector_OpenGraph_Dark_1200x630.png,104470,png
08_Social/DayVector_Social_Square_1080.png,228350,png
09_Splash/DayVector_Splash_Dark_1080x1920.png,92515,png
09_Splash/DayVector_Splash_Dark_1440x900.png,67126,png
09_Splash/DayVector_Splash_Dark_1920x1080.png,90442,png
