| name                                               | title                                                 | level | facing   | categories   | description                                                                                                                                                                                                              | detail                                                                                                                                                                                                                                                                                                                                               | remediation                                                                                                            | metadata                                                                                                                                                                                                           | cache_key                                                                                                                                                                            |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.       | Function `public.owner_backend_diagnostics()` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/owner_backend_diagnostics`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                                                      | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"owner_backend_diagnostics","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                                 | anon_security_definer_function_executable_public_owner_backend_diagnostics_                                                                                                          |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.       | Function `public.request_account_deletion(confirmation_text text)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/request_account_deletion`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                                  | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"request_account_deletion","schema":"public","language":"plpgsql","arguments":"confirmation_text text","security_definer":true}                                                                            | anon_security_definer_function_executable_public_request_account_deletion_confirmation_text text                                                                                     |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.       | Function `public.set_task_recurrence_state(target_task_id uuid, requested_action text)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/set_task_recurrence_state`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                            | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"set_task_recurrence_state","schema":"public","language":"plpgsql","arguments":"target_task_id uuid, requested_action text","security_definer":true}                                                       | anon_security_definer_function_executable_public_set_task_recurrence_state_target_task_id uuid, requested_action text                                                                |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.       | Function `public.skip_task_occurrence(target_task_id uuid)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/skip_task_occurrence`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                                             | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"skip_task_occurrence","schema":"public","language":"plpgsql","arguments":"target_task_id uuid","security_definer":true}                                                                                   | anon_security_definer_function_executable_public_skip_task_occurrence_target_task_id uuid                                                                                            |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.       | Function `public.sync_profile_email_from_auth()` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/sync_profile_email_from_auth`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                                                | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"sync_profile_email_from_auth","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                              | anon_security_definer_function_executable_public_sync_profile_email_from_auth_                                                                                                       |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it. | Function `public.bootstrap_current_user()` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/bootstrap_current_user`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"bootstrap_current_user","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                                    | authenticated_security_definer_function_executable_public_bootstrap_current_user_                                                                                                    |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it. | Function `public.cancel_account_deletion()` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/cancel_account_deletion`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                                                 | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"cancel_account_deletion","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                                   | authenticated_security_definer_function_executable_public_cancel_account_deletion_                                                                                                   |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it. | Function `public.edit_task_with_scope(target_task_id uuid, edit_scope text, task_values jsonb, resource_values jsonb, reminder_values jsonb)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/edit_task_with_scope`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.  | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"edit_task_with_scope","schema":"public","language":"plpgsql","arguments":"target_task_id uuid, edit_scope text, task_values jsonb, resource_values jsonb, reminder_values jsonb","security_definer":true} | authenticated_security_definer_function_executable_public_edit_task_with_scope_target_task_id uuid, edit_scope text, task_values jsonb, resource_values jsonb, reminder_values jsonb |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it. | Function `public.export_my_data()` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/export_my_data`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"export_my_data","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                                            | authenticated_security_definer_function_executable_public_export_my_data_                                                                                                            |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it. | Function `public.generate_task_occurrences(recurrence_id uuid, range_start timestamp with time zone, range_end timestamp with time zone)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/generate_task_occurrences`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional. | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"generate_task_occurrences","schema":"public","language":"plpgsql","arguments":"recurrence_id uuid, range_start timestamp with time zone, range_end timestamp with time zone","security_definer":true}     | authenticated_security_definer_function_executable_public_generate_task_occurrences_recurrence_id uuid, range_start timestamp with time zone, range_end timestamp with time zone     |
